new_home,num_bathrooms,num_bedrooms,num_floors,num_recepts,not_house,price,log_price,listing_status_sale,property_type_Barn conversion,property_type_Block of flats,property_type_Bungalow,property_type_Chalet,property_type_Cottage,property_type_Country house,property_type_Detached bungalow,property_type_Detached house,property_type_End terrace house,property_type_Equestrian property,property_type_Farm,property_type_Farmhouse,property_type_Flat,property_type_Hotel/guest house,property_type_Houseboat,property_type_Land,property_type_Link-detached house,property_type_Lodge,property_type_Maisonette,property_type_Mews house,property_type_Mobile/park home,property_type_Parking/garage,property_type_Semi-detached bungalow,property_type_Semi-detached house,property_type_Studio,property_type_Terraced bungalow,property_type_Terraced house,property_type_Town house,property_type_Villa
0,0,5,0,5,0,3000000,14.914122846632385,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1,2975000,14.905754596961867,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,3,6,3,4,0,2250000,14.626440774180603,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,5,8,0,4,0,1875000,14.444119217386648,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,5,5,0,8,0,1850000,14.430696197054507,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2,6,0,3,0,1750000,14.375126345899696,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,3,6,0,4,0,1750000,14.375126345899696,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1,1700000,14.346138809026444,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,4,6,0,3,0,1700000,14.346138809026444,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,3,6,0,4,0,1700000,14.346138809026444,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,3,5,0,6,1,1600000,14.28551418721001,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,6,0,3,0,1600000,14.28551418721001,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,4,5,0,5,0,1500000,14.22097566607244,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
